old.word,new.word
porsche,Porsche
camero,cameo
structrual,structural
pc,PC
violationzoning,violation zoning
ordinanceobserved,ordinance observed
si,chi
habitationbldg,habitation bldg
highposts,high posts
sideviolation,side violation
unhabilitate,rehabilitate
lleary,bleary
rms,ems
garbagehousing,garbage housing
hbmcnonfunctioning,malfunctioning
nonfunctioning,non functioning
permenant,permanent
kuc,kc
lexus,Lexus
uxx,xx
remodeland,remodel and
damagedvacant,damaged vacant
soffit,offsite
violationslu,violation
violationsleft,violations left
amreinspected,am reinspected
tri,tree
plex,plea
aminspected,am inspected
rassmuson,Rasmussen
existsapplication,exists application
signspermit,signs permit
remodeloutdoor,remodel outdoor
cambridge,Cambridge
occupeid,occupied
gfi,gif
isssued,issued
fred,Fred
meyer,Meyer
pete,Pete
phil,Phil
pmseptember,September
midnightseptember,September
pmoctober,October
hasn,has
mainitenance,maintenance
reliakor,reliable
sevices,devices
marysville,Marseilles
dward,sward
conditionsint,conditions int
laudadio,Claudio
maintenancing,maintenance
phillip,fillip
wallaceclient,Wallace
developmentjc,development
fredmeyer,freedmen
jc,kc
ste,sch
srf,sf
demolitionovergrowth,demolition overgrowth
storageinstalling,storage installing
allowedas,allowed as
sfrns,NSF
codeoutdoor,code outdoor
remodelthe,remodel the
zsofia,Sofia
pasztor,pastor
submittal,submitter
alledged,alleged
swland,Lowlands
garageappropriate,garage appropriate
tarped,parted
ap,AP
vegetationbuilding,vegetation building
tmp,mp
dotfailure,dot failure
violationmarijuana,violation marijuana
removedpermit,removed permit
ecalarge,large
spalls,palls
propertydrainage,property drainage
tnv,tn
anne,Anne
wallverified,wall verified
rowhomeowner,row homeowner
violationinspection,violation inspection
uai,uni
bathrm,bath rm
bedrm,berm
openable,operable
aug,Aug
brandon,Brandon
complt,comply
vehicleobserved,vehicle observed
yardsvegetation,yards vegetation
sean,Sean
lamd,land
nstairway,stairway
assemlies,assemblies
mattreses,mattress
pota,pita
measuremnt,measurement
exceptable,except able
noies,noise
innovac,innovate
conversionrs,conversions
accesory,accessory
qtrly,truly
asscoaited,associated
vbbuilding,vb building
floorpermit,floor permit
violationsadding,violations adding
takenverified,taken verified
weedsx,weeds
zonejunk,zone junk
sm,chm
postedrs,posters
tracy,Tracy
bahrakis,Bahrain
probally,probably
daniel,denial
northup,north up
